step,strat,count
0,"3,0",5
1,"3,0",5
2,"3,0",4
2,"2,1",1
3,"3,0",4
3,"2,1",1
4,"3,0",3
4,"2,1",2
5,"3,0",3
5,"2,1",2
6,"3,0",3
6,"2,1",2
7,"3,0",3
7,"2,1",2
8,"3,0",2
8,"2,1",3
9,"3,0",2
9,"2,1",3
10,"3,0",1
10,"2,1",4
11,"3,0",0
11,"2,1",5
12,"3,0",0
12,"2,1",5
13,"3,0",0
13,"2,1",5
14,"3,0",0
14,"2,1",5
15,"3,0",0
15,"2,1",5
16,"3,0",0
16,"2,1",5
17,"3,0",0
17,"2,1",5
18,"3,0",0
18,"2,1",5
19,"3,0",0
19,"2,1",5
20,"3,0",0
20,"2,1",5
21,"3,0",0
21,"2,1",5
22,"3,0",0
22,"2,1",5
23,"3,0",0
23,"2,1",5
24,"3,0",0
24,"2,1",5
25,"3,0",0
25,"2,1",5
26,"3,0",0
26,"2,1",5
27,"3,0",0
27,"2,1",5
28,"3,0",0
28,"2,1",5
29,"3,0",0
29,"2,1",5
30,"3,0",0
30,"2,1",5
31,"3,0",0
31,"2,1",5
32,"3,0",0
32,"2,1",5
33,"3,0",0
33,"2,1",5
34,"3,0",0
34,"2,1",4
34,"1,2",1
35,"3,0",0
35,"2,1",3
35,"1,2",2
36,"3,0",0
36,"2,1",2
36,"1,2",3
37,"3,0",0
37,"2,1",2
37,"1,2",3
38,"3,0",0
38,"2,1",1
38,"1,2",4
39,"3,0",0
39,"2,1",2
39,"1,2",3
40,"3,0",0
40,"2,1",1
40,"1,2",4
41,"3,0",0
41,"2,1",1
41,"1,2",4
42,"3,0",0
42,"2,1",1
42,"1,2",4
43,"3,0",0
43,"2,1",1
43,"1,2",4
44,"3,0",0
44,"2,1",2
44,"1,2",3
45,"3,0",0
45,"2,1",1
45,"1,2",4
46,"3,0",0
46,"2,1",0
46,"1,2",5
47,"3,0",0
47,"2,1",0
47,"1,2",5
48,"3,0",0
48,"2,1",0
48,"1,2",5
49,"3,0",1
49,"2,1",0
49,"1,2",4
50,"3,0",1
50,"2,1",0
50,"1,2",4
51,"3,0",1
51,"2,1",1
51,"1,2",3
52,"3,0",0
52,"2,1",1
52,"1,2",4
53,"3,0",0
53,"2,1",0
53,"1,2",5
54,"3,0",0
54,"2,1",0
54,"1,2",5
55,"3,0",0
55,"2,1",0
55,"1,2",5
56,"3,0",0
56,"2,1",0
56,"1,2",5
57,"3,0",0
57,"2,1",0
57,"1,2",5
58,"3,0",0
58,"2,1",0
58,"1,2",5
59,"3,0",0
59,"2,1",0
59,"1,2",5
60,"3,0",0
60,"2,1",0
60,"1,2",5
61,"3,0",0
61,"2,1",0
61,"1,2",5
62,"3,0",0
62,"2,1",0
62,"1,2",5
63,"3,0",0
63,"2,1",0
63,"1,2",5
64,"3,0",0
64,"2,1",0
64,"1,2",4
64,"0,3",1
65,"3,0",0
65,"2,1",0
65,"1,2",3
65,"0,3",2
66,"3,0",0
66,"2,1",0
66,"1,2",3
66,"0,3",2
67,"3,0",0
67,"2,1",0
67,"1,2",2
67,"0,3",3
68,"3,0",0
68,"2,1",0
68,"1,2",1
68,"0,3",4
69,"3,0",0
69,"2,1",0
69,"1,2",1
69,"0,3",4
70,"3,0",0
70,"2,1",0
70,"1,2",1
70,"0,3",4
71,"3,0",0
71,"2,1",0
71,"1,2",1
71,"0,3",4
72,"3,0",0
72,"2,1",0
72,"1,2",2
72,"0,3",3
73,"3,0",0
73,"2,1",0
73,"1,2",2
73,"0,3",3
74,"3,0",0
74,"2,1",0
74,"1,2",1
74,"0,3",4
75,"3,0",0
75,"2,1",0
75,"1,2",0
75,"0,3",5
76,"3,0",0
76,"2,1",0
76,"1,2",0
76,"0,3",5
77,"3,0",0
77,"2,1",0
77,"1,2",0
77,"0,3",5
78,"3,0",0
78,"2,1",0
78,"1,2",0
78,"0,3",5
79,"3,0",0
79,"2,1",0
79,"1,2",0
79,"0,3",5
80,"3,0",0
80,"2,1",0
80,"1,2",0
80,"0,3",5
81,"3,0",0
81,"2,1",0
81,"1,2",0
81,"0,3",5
82,"3,0",0
82,"2,1",0
82,"1,2",0
82,"0,3",5
83,"3,0",0
83,"2,1",0
83,"1,2",0
83,"0,3",5
84,"3,0",0
84,"2,1",0
84,"1,2",0
84,"0,3",5
85,"3,0",0
85,"2,1",0
85,"1,2",0
85,"0,3",5
86,"3,0",0
86,"2,1",0
86,"1,2",0
86,"0,3",5
87,"3,0",0
87,"2,1",0
87,"1,2",0
87,"0,3",5
88,"3,0",0
88,"2,1",0
88,"1,2",0
88,"0,3",5
89,"3,0",0
89,"2,1",0
89,"1,2",0
89,"0,3",5
90,"3,0",0
90,"2,1",0
90,"1,2",0
90,"0,3",5
91,"3,0",0
91,"2,1",0
91,"1,2",0
91,"0,3",5
92,"3,0",0
92,"2,1",0
92,"1,2",0
92,"0,3",5
93,"3,0",0
93,"2,1",0
93,"1,2",0
93,"0,3",5
94,"3,0",0
94,"2,1",0
94,"1,2",0
94,"0,3",5
95,"3,0",0
95,"2,1",0
95,"1,2",0
95,"0,3",5
96,"3,0",0
96,"2,1",0
96,"1,2",0
96,"0,3",5
97,"3,0",0
97,"2,1",0
97,"1,2",0
97,"0,3",5
98,"3,0",0
98,"2,1",0
98,"1,2",0
98,"0,3",5
99,"3,0",0
99,"2,1",0
99,"1,2",0
99,"0,3",5
100,"3,0",0
100,"2,1",0
100,"1,2",0
100,"0,3",5
101,"3,0",0
101,"2,1",0
101,"1,2",0
101,"0,3",5
102,"3,0",0
102,"2,1",0
102,"1,2",0
102,"0,3",5
103,"3,0",0
103,"2,1",0
103,"1,2",0
103,"0,3",5
104,"3,0",0
104,"2,1",0
104,"1,2",0
104,"0,3",5
105,"3,0",0
105,"2,1",0
105,"1,2",0
105,"0,3",5
106,"3,0",0
106,"2,1",0
106,"1,2",0
106,"0,3",5
107,"3,0",0
107,"2,1",0
107,"1,2",0
107,"0,3",5
108,"3,0",0
108,"2,1",0
108,"1,2",0
108,"0,3",5
109,"3,0",0
109,"2,1",0
109,"1,2",0
109,"0,3",5
110,"3,0",0
110,"2,1",0
110,"1,2",0
110,"0,3",5
111,"3,0",0
111,"2,1",0
111,"1,2",0
111,"0,3",5
112,"3,0",0
112,"2,1",0
112,"1,2",1
112,"0,3",4
113,"3,0",0
113,"2,1",0
113,"1,2",1
113,"0,3",4
114,"3,0",0
114,"2,1",0
114,"1,2",1
114,"0,3",4
115,"3,0",0
115,"2,1",0
115,"1,2",1
115,"0,3",4
116,"3,0",0
116,"2,1",0
116,"1,2",1
116,"0,3",4
117,"3,0",0
117,"2,1",0
117,"1,2",0
117,"0,3",5
118,"3,0",0
118,"2,1",0
118,"1,2",1
118,"0,3",4
119,"3,0",0
119,"2,1",0
119,"1,2",1
119,"0,3",4
120,"3,0",0
120,"2,1",0
120,"1,2",1
