step,strat,count
0,"3,0,0,0",1000
1,"3,0,0,0",1000
2,"3,0,0,0",1000
3,"3,0,0,0",1000
4,"3,0,0,0",1000
5,"3,0,0,0",1000
6,"3,0,0,0",1000
7,"3,0,0,0",1000
8,"3,0,0,0",1000
9,"3,0,0,0",1000
10,"3,0,0,0",1000
11,"3,0,0,0",1000
12,"3,0,0,0",1000
13,"3,0,0,0",1000
14,"3,0,0,0",1000
15,"3,0,0,0",1000
16,"3,0,0,0",1000
17,"3,0,0,0",1000
18,"3,0,0,0",1000
19,"3,0,0,0",1000
20,"3,0,0,0",1000
21,"3,0,0,0",1000
22,"3,0,0,0",1000
23,"3,0,0,0",1000
24,"3,0,0,0",1000
25,"3,0,0,0",1000
26,"3,0,0,0",1000
27,"3,0,0,0",1000
28,"3,0,0,0",1000
29,"3,0,0,0",1000
30,"3,0,0,0",1000
31,"3,0,0,0",1000
32,"3,0,0,0",1000
33,"3,0,0,0",1000
34,"3,0,0,0",1000
35,"3,0,0,0",1000
36,"3,0,0,0",1000
37,"3,0,0,0",1000
38,"3,0,0,0",1000
39,"3,0,0,0",1000
40,"3,0,0,0",1000
41,"3,0,0,0",1000
42,"3,0,0,0",1000
43,"3,0,0,0",1000
44,"3,0,0,0",1000
45,"3,0,0,0",1000
46,"3,0,0,0",1000
47,"3,0,0,0",1000
48,"3,0,0,0",1000
49,"3,0,0,0",1000
50,"3,0,0,0",1000
51,"3,0,0,0",1000
52,"3,0,0,0",1000
53,"3,0,0,0",1000
54,"3,0,0,0",1000
55,"3,0,0,0",1000
56,"3,0,0,0",1000
57,"3,0,0,0",1000
58,"3,0,0,0",1000
59,"3,0,0,0",1000
60,"3,0,0,0",1000
61,"3,0,0,0",1000
62,"3,0,0,0",1000
63,"3,0,0,0",1000
64,"3,0,0,0",1000
65,"3,0,0,0",1000
66,"3,0,0,0",1000
67,"3,0,0,0",1000
68,"3,0,0,0",1000
69,"3,0,0,0",1000
70,"3,0,0,0",1000
71,"3,0,0,0",1000
72,"3,0,0,0",1000
73,"3,0,0,0",1000
74,"3,0,0,0",1000
75,"3,0,0,0",1000
76,"3,0,0,0",1000
77,"3,0,0,0",1000
78,"3,0,0,0",1000
79,"3,0,0,0",1000
80,"3,0,0,0",1000
81,"3,0,0,0",1000
82,"3,0,0,0",1000
83,"3,0,0,0",1000
84,"3,0,0,0",1000
85,"3,0,0,0",1000
86,"3,0,0,0",1000
87,"3,0,0,0",1000
88,"3,0,0,0",1000
89,"3,0,0,0",1000
90,"3,0,0,0",1000
91,"3,0,0,0",1000
92,"3,0,0,0",1000
93,"3,0,0,0",1000
94,"3,0,0,0",1000
95,"3,0,0,0",1000
96,"3,0,0,0",1000
97,"3,0,0,0",1000
98,"3,0,0,0",1000
99,"3,0,0,0",1000
100,"3,0,0,0",1000
101,"3,0,0,0",1000
102,"3,0,0,0",1000
103,"3,0,0,0",1000
104,"3,0,0,0",1000
105,"3,0,0,0",1000
106,"3,0,0,0",1000
107,"3,0,0,0",1000
108,"3,0,0,0",1000
109,"3,0,0,0",1000
110,"3,0,0,0",1000
111,"3,0,0,0",1000
112,"3,0,0,0",1000
113,"3,0,0,0",1000
114,"3,0,0,0",1000
115,"3,0,0,0",1000
116,"3,0,0,0",1000
117,"3,0,0,0",1000
118,"3,0,0,0",1000
119,"3,0,0,0",1000
120,"3,0,0,0",1000
121,"3,0,0,0",1000
122,"3,0,0,0",1000
123,"3,0,0,0",1000
124,"3,0,0,0",1000
125,"3,0,0,0",1000
126,"3,0,0,0",1000
127,"3,0,0,0",1000
128,"3,0,0,0",1000
129,"3,0,0,0",1000
130,"3,0,0,0",1000
131,"3,0,0,0",1000
132,"3,0,0,0",1000
133,"3,0,0,0",1000
134,"3,0,0,0",1000
135,"3,0,0,0",1000
136,"3,0,0,0",1000
137,"3,0,0,0",1000
138,"3,0,0,0",1000
139,"3,0,0,0",1000
140,"3,0,0,0",1000
141,"3,0,0,0",1000
142,"3,0,0,0",1000
143,"3,0,0,0",1000
144,"3,0,0,0",1000
145,"3,0,0,0",1000
146,"3,0,0,0",1000
147,"3,0,0,0",1000
148,"3,0,0,0",1000
149,"3,0,0,0",1000
150,"3,0,0,0",1000
151,"3,0,0,0",1000
152,"3,0,0,0",1000
153,"3,0,0,0",1000
154,"3,0,0,0",1000
155,"3,0,0,0",1000
156,"3,0,0,0",1000
157,"3,0,0,0",1000
158,"3,0,0,0",1000
159,"3,0,0,0",1000
160,"3,0,0,0",1000
161,"3,0,0,0",1000
162,"3,0,0,0",1000
163,"3,0,0,0",1000
164,"3,0,0,0",1000
165,"3,0,0,0",1000
166,"3,0,0,0",1000
167,"3,0,0,0",1000
168,"3,0,0,0",1000
169,"3,0,0,0",1000
170,"3,0,0,0",1000
171,"3,0,0,0",1000
172,"3,0,0,0",1000
173,"3,0,0,0",1000
174,"3,0,0,0",1000
175,"3,0,0,0",1000
176,"3,0,0,0",1000
177,"3,0,0,0",1000
178,"3,0,0,0",1000
179,"3,0,0,0",1000
180,"3,0,0,0",1000
181,"3,0,0,0",1000
182,"3,0,0,0",1000
183,"3,0,0,0",1000
184,"3,0,0,0",1000
185,"3,0,0,0",1000
186,"3,0,0,0",1000
187,"3,0,0,0",1000
188,"3,0,0,0",1000
189,"3,0,0,0",1000
190,"3,0,0,0",1000
191,"3,0,0,0",1000
192,"3,0,0,0",1000
193,"3,0,0,0",1000
194,"3,0,0,0",1000
195,"3,0,0,0",1000
196,"3,0,0,0",1000
197,"3,0,0,0",1000
198,"3,0,0,0",1000
199,"3,0,0,0",1000
200,"3,0,0,0",1000
201,"3,0,0,0",1000
202,"3,0,0,0",1000
203,"3,0,0,0",1000
